"Category","ConfigKey","WindowsValue","LinuxCommand","Notes","Phase","Scope"
"Power","lid_close_on_ac","unknown","","logind.conf: HandleLidSwitchExternalPower=suspend","pre","System"
"Power","lid_close_on_battery","unknown","","logind.conf: HandleLidSwitch=suspend","pre","System"
"Display","resolution","2560x1600","","xrandr / GNOME Settings > Displays","pre","User"
"Display","scaling","150%","","GNOME text-scaling-factor (system-wide dconf, all users)","pre","User"
"Keyboard","layout","English (United States) (en-US)","en-US, fa","setxkbmap / localectl set-x11-keymap","pre","User"
"Keyboard","shortcuts_note","Ctrl+C/V/X/Z = Copy/Paste/Cut/Undo ; Win+E = File Explorer ; Win+L = Lock screen ; Win+D = Show desktop ; Win+R = Run dialog ; Alt+Tab = Switch windows ; Ctrl+Shift+Esc = Task Manager ; Win+Shift+S = Screenshot snipping","","Map to GNOME/KDE equivalents in apply_settings.sh","pre","User"
"Telemetry","telemetry_level","Full","","Disable telemetry: mask telemetry in /etc/hosts + disable services","pre","User"
"Telemetry","location_service","enabled","","Disable location: systemctl disable geoclue + gnome-control-center","pre","User"
"AutoUpdate","install_service_files","system_update","","Install system_update.service + system_update.timer from the repo (see Scheduled systemd Automatic Update/Debian/service files/)","pre","System"
"Screen","lock_screen_timeout","10 min","","GNOME (system-wide dconf, all users): session idle-delay + screensaver lock-enabled; ""never"" => disable lock & blanking","pre","User"
"Mouse","mouse_size","48","","GNOME org.gnome.desktop.interface cursor-size","pre","User"
"Mouse","mouse_speed","0.8","","GNOME org.gnome.desktop.peripherals.mouse speed (-1..1)","pre","User"
"Mouse","mouse_accel","default","","GNOME org.gnome.desktop.peripherals.mouse accel-profile","pre","User"
"Mouse","mouse_swap","false","","GNOME org.gnome.desktop.peripherals.mouse left-handed","pre","User"
"Mouse","mouse_dblclick","500","","GNOME org.gnome.desktop.peripherals.mouse double-click (ms)","pre","User"
"Accessibility","a11y_stickykeys","false","","GNOME a11y.keyboard stickykeys-enable","pre","User"
"Accessibility","a11y_slowkeys","false","","GNOME a11y.keyboard slowkeys-enable","pre","User"
"Accessibility","a11y_mousekeys","false","","GNOME a11y.keyboard mousekeys-enable","pre","User"
"Accessibility","a11y_highcontrast","false","","GNOME a11y.interface high-contrast","pre","User"
"Accessibility","a11y_magnifier","false","","GNOME a11y.applications screen-magnifier-enabled","pre","User"
"Keyboard","key_repeat_delay","500","","GNOME peripherals.keyboard delay (uint32 ms)","pre","User"
"Keyboard","key_repeat_rate","33","","GNOME peripherals.keyboard repeat-interval (uint32 ms)","pre","User"
"Keyboard","numlock","true","","GNOME peripherals.keyboard numlock-state","pre","User"
"Time","timezone","Europe/Berlin","","Linux: timedatectl set-timezone","pre","System"
"Time","ntp_server","pool.ntp.org","","Linux: systemd-timesyncd NTP= (non-Microsoft)","pre","System"
"Appearance","color_scheme","default","","GNOME org.gnome.desktop.interface color-scheme","pre","User"
"Appearance","accent_color","blue","","GNOME org.gnome.desktop.interface accent-color (GNOME 47+)","pre","User"
"Locale","locale","en_US.UTF-8","","Linux: localectl set-locale LANG=","pre","System"
"Proxy","proxy_mode","none","","GNOME org.gnome.system.proxy mode","pre","User"
"Proxy","proxy_host","","","GNOME org.gnome.system.proxy.http host","pre","User"
"Proxy","proxy_port","","","GNOME org.gnome.system.proxy.http port","pre","User"
"Proxy","proxy_autoconfig","","","GNOME org.gnome.system.proxy autoconfig-url","pre","User"
"Touchpad","touchpad_tap","true","","GNOME org.gnome.desktop.peripherals.touchpad tap-to-click","pre","User"
"Touchpad","touchpad_natural","false","","GNOME org.gnome.desktop.peripherals.touchpad natural-scroll","pre","User"
"Power","sleep_ac","0","","GNOME power sleep-inactive-ac-timeout (s)","pre","System"
