"Name","Version","Publisher","Source","Linux Availability","Best Linux Alternative","Alternative Competency","Pricing model","Must be included on Linux"
"µTorrent","3.6.0.47228","BitTorrent Limited","Win32","Not Available; Native Alternative","qBittorrent (or Transmission / Deluge)","130%","Free (FOSS)","yes"
"Adobe AIR","51.2.2.6","HARMAN International","Win32","Not Available","Deprecated runtime (HARMAN AIR SDK only); most AIR apps have native/web replacements","20%","Free","no"
"Adobe Connect","2025.5.5.64","Adobe Systems Inc.","Win32","Available as WebApp","Adobe Connect in-browser; or Jitsi / BigBlueButton for FOSS web meetings","85%","Paid","no"
"Adobe Digital Editions 4.5","4.5.12","Adobe Systems Incorporated","Win32","Not Available; Native Alternative","Thorium Reader (reads LCP DRM) or calibre + DeDRM; Foliate for DRM-free EPUB","90%","Free (FOSS)","yes"
"Alarms & Clock","11.2512.0.0","Microsoft Corporation","Store","Native Alternative","GNOME Clocks (or KDE Clock widget)","100%","Free (FOSS)","yes"
"AlterEgo+Lexique","1.0.1","UNKNOWN","Win32","Not Available; Native Alternative; Windows Emulator (Wine/Proton)","GoldenDict with the relevant dictionary files; or run under Wine","65%","Free (FOSS)","no"
"Anaconda3 2025.12-1 (Python 3.13.9 64-bit)","2025.12-1","Anaconda, Inc.","Win32","Available on Linux","","100%","Freemium","yes"
"Anki Launcher","25.09",,"Win32","Available on Linux","","100%","Free (FOSS)","yes"
"AnyDesk","ad 9.6.2","AnyDesk Software GmbH","Win32","Available on Linux","","97%","Freemium","yes"
"Babylon","12.00.0013","Babylon Software Ltd.","Win32","Not Available; Native Alternative","GoldenDict (reads Babylon .BGL dictionaries)","90%","Free (FOSS)","yes"
"Bing Search","1.1.43.0","Microsoft Corporation","Store","Available as WebApp","bing.com in any browser (or DuckDuckGo / Google)","95%","Free","no"
"Bitvise SSH Client 9.61","9.61","Bitvise Limited","Win32","Not Available; Native Alternative","OpenSSH (ssh/sftp/scp), Termius, or FileZilla for SFTP","95%","Free (FOSS)","yes"
