"Device Name","Device Class","Manufacturer","Driver Version","Driver Date","Driver Provider","Hardware ID","macOS Driver Status","macOS Driver / Module","Vendor Download","Notes","Must install on macOS"
"BESOTA","","","","","","BTHENUM\{66666666-6666-6666-6666-666666666666}_LOCALMFG&0002","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{f8d1fbe4-7966-4334-8024-ff96c9330e15}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{f7a96061-a1b3-40de-aff0-e78ec45a151e}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{f76acb00-7cab-495f-bb1a-e664598fd77f}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{443cce33-e85d-4b85-8d53-6e319ede53ae}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{00000000-deca-fade-deca-deafdecacaff}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{2573f2dd-a2f8-486c-8476-a63734909acb}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{8901dfa8-5c7e-4d8f-9f0c-c2b70683f5f0}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{81c2e72a-0591-443e-a1ff-05f988593351}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
"Bluetooth Peripheral Device","","","","","","BTHENUM\{45c93e07-d90d-4b93-a9db-91e5dd734e35}_VID&0002054c_PID&0f8a","Not Applicable","IOBluetoothFamily (built into macOS)","","Paired Bluetooth peripheral (headset/phone/etc.) - nothing to install; pair it again in System Settings > Bluetooth.","no"
