"Name","Version","Publisher","Source","macOS Availability","Best macOS Alternative","Alternative Competency","Pricing model","Must be included on macOS","Can be synched to macOS alternative","macOS Alternative Type","Download URL"
"µTorrent","3.6.0.47228","BitTorrent Limited","Win32","Not Available; Native Alternative","qBittorrent (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/qbittorrent"
"7-Zip 26.02 (x64 edition)","26.02.00.0","Igor Pavlov","Win32","Available on macOS","Keka + 7-Zip CLI (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/keka"
"Adobe Connect","2025.5.5.64","Adobe Systems Inc.","Win32","Available on macOS; Available as WebApp","Adobe Connect for Mac (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/adobe-connect"
"Anki Launcher","25.09","","Win32","Available on macOS","Anki for Mac (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/anki"
"AnyDesk","ad 9.7.11","AnyDesk Software GmbH","Win32","Available on macOS","AnyDesk for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/anydesk"
"Bitvise SSH Client 9.66","9.66","Bitvise Limited","Win32","Not Available; Native Alternative","Terminal (install: builtin)","70","Free (FOSS)","yes","No, manual transfer","Native (built into macOS)",""
"BlazeSQL version 1.8.82","1.8.82","Blaze Analytics","Win32","Available on macOS; Native Alternative","BlazeSQL for Mac (install: manual)","70","Freemium","yes","Yes","Native (manual install)","https://www.blazesql.com/"
"calibre","9.5.0","Kovid Goyal","Win32","Available on macOS","calibre for Mac (install: cask)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew Cask)","https://formulae.brew.sh/cask/calibre"
"Cisco Jabber","14.3.0.58392","Cisco Systems, Inc","Win32","Available on macOS; Available as WebApp","Cisco Jabber for Mac (install: cask)","70","Paid","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/cisco-jabber"
"CMake","4.3.0","Kitware","Win32","Available on macOS","CMake for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/cmake"
"Discord","1.0.9241","Discord Inc.","Win32","Available on macOS","Discord for Mac (install: cask)","70","Free","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/discord"
"Docker Desktop","4.70.0","Docker Inc.","Win32","Available on macOS","Docker Desktop for Mac (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/docker-desktop"
"Dropbox","264.4.3385","Dropbox, Inc.","Win32","Available on macOS","Dropbox for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/dropbox"
"Git","2.55.0","The Git Development Community","Win32","Available on macOS","Git for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/git"
"GitHub Desktop","3.6.3","GitHub, Inc.","Win32","Available on macOS; Native Alternative","GitHub Desktop for Mac (install: cask)","70","Free (FOSS)","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/github"
"GnuWin32: Grep-2.5.4","2.5.4","GnuWin32","Win32","Available on macOS","GNU grep for macOS (install: brew)","70","Free (FOSS)","yes","No, manual transfer","Native (Homebrew formula)","https://formulae.brew.sh/formula/grep"
"Google Chrome","151.0.7922.108","Google LLC","Win32","Available on macOS","Google Chrome for Mac (install: cask)","70","Free","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/google-chrome"
"Google Drive","129.0.1.0","Google LLC","Win32","Available on macOS; Native Alternative; Available as WebApp","Google Drive for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/google-drive"
"Grammarly for Windows","1.2.220.1800","Grammarly","Win32","Available on macOS; Native Alternative; Available as WebApp","Grammarly for Mac (install: cask)","70","Freemium","yes","Yes","Native (Homebrew Cask)","https://formulae.brew.sh/cask/grammarly-desktop"
